iter	Passed	Remaining
0	9	9965
1	18	9140
2	25	8620
3	35	8946
4	41	8340
5	50	8382
6	57	8193
7	60	7446
8	64	7077
9	66	6610
10	69	6220
11	76	6259
12	84	6407
13	88	6204
14	95	6298
15	99	6148
16	102	5927
17	109	5953
18	113	5856
19	115	5668
20	122	5702
21	124	5550
22	132	5617
23	140	5697
24	143	5589
25	150	5653
26	157	5692
27	163	5672
28	169	5688
29	177	5745
30	185	5794
31	193	5842
32	200	5873
33	208	5923
34	216	5966
35	225	6051
36	232	6062
37	236	5996
38	245	6042
39	251	6032
40	257	6021
41	265	6045
42	268	5976
43	275	5994
44	283	6023
45	292	6064
46	300	6100
47	308	6119
48	316	6143
49	324	6166
50	332	6180
51	339	6187
52	346	6196
53	355	6229
54	364	6259
55	372	6272
56	381	6304
57	387	6298
58	396	6316
59	403	6325
60	411	6339
61	420	6358
62	423	6300
63	432	6327
64	441	6349
65	449	6360
66	456	6362
67	465	6380
68	474	6408
69	485	6446
70	493	6463
71	502	6480
72	509	6475
73	518	6490
74	526	6488
75	530	6454
76	540	6474
77	548	6483
78	557	6503
79	565	6504
80	574	6513
81	582	6524
82	592	6546
83	601	6558
84	610	6570
85	617	6567
86	626	6570
87	634	6577
88	643	6581
89	651	6584
90	659	6586
91	668	6595
92	678	6616
93	687	6627
94	691	6583
95	700	6597
96	709	6607
97	717	6604
98	725	6606
99	733	6601
100	742	6606
101	750	6606
102	759	6611
103	767	6611
104	775	6613
105	783	6611
106	791	6607
107	799	6603
108	808	6608
109	816	6607
110	826	6623
111	835	6622
112	842	6612
113	849	6603
114	859	6611
115	867	6612
116	875	6605
117	879	6574
118	886	6565
119	894	6557
120	901	6551
121	910	6549
122	919	6559
123	929	6566
124	937	6562
125	946	6563
126	954	6563
127	963	6563
128	970	6555
129	979	6556
130	988	6557
131	996	6554
132	1005	6555
133	1013	6548
134	1020	6540
135	1029	6543
136	1039	6546
137	1048	6548
138	1058	6555
139	1066	6554
140	1075	6549
141	1083	6544
142	1091	6538
143	1099	6535
144	1108	6536
145	1116	6531
146	1123	6520
147	1131	6514
148	1140	6516
149	1149	6514
150	1157	6509
151	1167	6512
152	1175	6507
153	1184	6507
154	1193	6504
155	1201	6499
156	1208	6487
157	1216	6483
158	1225	6479
159	1234	6479
160	1242	6474
161	1250	6470
162	1258	6461
163	1266	6458
164	1277	6464
165	1285	6456
166	1293	6454
167	1301	6446
168	1311	6447
169	1319	6444
170	1328	6439
171	1337	6436
172	1345	6431
173	1353	6425
174	1363	6425
175	1371	6422
176	1379	6416
177	1386	6403
178	1394	6396
179	1402	6387
180	1409	6379
181	1417	6371
182	1425	6361
183	1433	6357
184	1440	6347
185	1449	6344
186	1457	6338
187	1465	6330
188	1473	6323
189	1481	6316
190	1490	6313
191	1501	6317
192	1510	6313
193	1518	6310
194	1526	6299
195	1535	6299
196	1544	6296
197	1554	6296
198	1564	6296
199	1575	6302
200	1589	6319
201	1599	6320
202	1609	6319
203	1618	6317
204	1627	6312
205	1637	6312
206	1646	6308
207	1656	6308
208	1666	6307
209	1675	6302
210	1683	6296
211	1693	6293
212	1703	6295
213	1712	6289
214	1720	6282
215	1729	6278
216	1738	6272
217	1746	6266
218	1754	6258
219	1762	6250
220	1770	6240
221	1779	6234
222	1786	6226
223	1796	6223
224	1804	6216
225	1812	6208
226	1820	6200
227	1829	6193
228	1837	6186
229	1845	6178
230	1853	6169
231	1862	6165
232	1871	6159
233	1879	6152
234	1888	6146
235	1895	6137
236	1903	6127
237	1911	6120
238	1920	6115
239	1928	6108
240	1938	6105
241	1952	6115
